,0,1,2,3,4
0,2.42%,3.23%,3.38%,3.29%,2.50%
1,2.85%,1.62%,2.17%,2.06%,1.53%
2,1.92%,1.35%,1.99%,1.82%,1.05%
3,1.36%,1.16%,1.39%,0.98%,0.35%
4,0.92%,0.81%,0.64%,0.38%,0.64%
5,1.91%,1.08%,1.76%,1.54%,0.55%
6,1.81%,1.61%,1.81%,1.48%,1.18%
7,2.05%,1.63%,2.27%,1.59%,0.68%
8,1.72%,2.13%,1.90%,1.69%,0.59%
9,1.98%,2.00%,2.04%,2.05%,1.08%
10,1.94%,1.22%,1.99%,0.80%,-0.23%
11,1.67%,1.31%,1.81%,1.67%,0.99%
12,1.70%,2.04%,1.76%,1.36%,0.48%
13,1.99%,1.14%,2.01%,2.07%,1.33%
14,2.20%,2.52%,2.25%,2.49%,1.87%
15,5.25%,6.42%,6.73%,5.51%,4.71%
16,4.99%,4.52%,5.33%,5.41%,3.88%
17,4.26%,4.44%,5.01%,5.02%,4.16%
18,4.25%,4.79%,4.76%,4.40%,3.93%
19,3.91%,4.23%,3.80%,4.09%,3.56%
20,4.55%,4.86%,4.91%,5.22%,6.05%
21,4.72%,4.94%,4.94%,5.00%,4.97%
22,4.72%,4.73%,5.64%,4.94%,5.15%
23,4.09%,4.80%,5.16%,4.91%,4.40%
24,4.87%,5.18%,5.33%,4.48%,3.07%
25,4.55%,5.11%,5.70%,5.13%,4.62%
26,4.77%,4.42%,4.39%,4.56%,3.35%
27,4.56%,4.61%,4.96%,4.29%,3.36%
28,4.44%,4.75%,5.52%,4.75%,4.26%
29,4.65%,5.71%,5.53%,5.77%,4.91%
30,5.79%,6.33%,6.17%,6.21%,5.10%
31,5.22%,4.90%,5.31%,4.91%,3.19%
32,4.83%,4.27%,3.96%,5.37%,4.13%
33,3.95%,3.61%,3.74%,3.86%,3.71%
34,3.93%,3.21%,3.27%,3.77%,2.76%
35,4.66%,4.42%,4.16%,5.06%,3.94%
36,4.78%,4.33%,4.95%,4.06%,3.85%
37,4.84%,4.30%,4.65%,5.04%,1.97%
38,4.62%,4.75%,3.80%,5.93%,3.88%
39,4.97%,5.06%,5.03%,4.23%,3.29%
40,4.79%,4.57%,4.01%,4.56%,3.85%
41,4.14%,3.67%,4.08%,4.21%,2.15%
42,4.81%,4.10%,4.00%,3.90%,2.87%
43,4.36%,4.63%,4.61%,4.47%,3.80%
44,5.99%,5.95%,5.96%,7.45%,5.02%
